company,market.value,assets,employees
Alliant Techsystems,2724.7,3593.2,19000
Boeing,54948.9,62053,157100
General Dynamics,29670,31077,91700
Goodrich,8888,8741.4,24000
Honeywell International,34099,36004,122000
ITT,9646.1,11129.1,40200
Lockheed Martin,31626.1,35111,140000
L-3 Communications,10779.6,14813,67000
Northrop Grumman,19840.6,30252,120700
Precision Castparts,17542.6,6721.4,20600
Raytheon,21717.7,23607,75000
Rockwell Collins,9901.7,4645,19300
Textron,5910.4,18940,32000
United Technologoes,69011.4,55762,206700
