"date","mean_temp","weather"
2011-01-01,15,"Rain"
2011-01-02,7,"Rain"
2011-01-03,3,"Sunny"
2011-01-04,8,"Sunny"
2011-01-05,6,"Rain"
2011-01-06,6,"Sunny"
2011-01-07,8,"Sunny"
2011-01-08,3,"Sunny"
2011-01-09,-3,"Rain"
2011-01-10,-2,"Rain"
2011-01-11,0,"Rain"
2011-01-12,-4,"Rain"
2011-01-13,-3,"Sunny"
2011-01-14,0,"Sunny"
2011-01-15,3,"Sunny"
2011-01-16,6,"Sunny"
2011-01-17,6,"Rain"
2011-01-18,6,"Rain"
2011-01-19,7,"Rain"
2011-01-20,4,"Rain"
2011-01-21,1,"Rain"
2011-01-22,1,"Sunny"
2011-01-23,3,"Sunny"
2011-01-24,7,"Sunny"
2011-01-25,4,"Rain"
2011-01-26,3,"Rain"
2011-01-27,4,"Sunny"
2011-01-28,8,"Sunny"
2011-01-29,12,"Sunny"
2011-01-30,15,"Sunny"
2011-01-31,11,"Rain"
2011-02-01,9,"Rain"
2011-02-02,6,"Foggy"
2011-02-03,1,"Rain"
2011-02-04,3,"Rain"
2011-02-05,4,"Rain"
2011-02-06,6,"Sunny"
2011-02-07,6,"Rain"
2011-02-08,3,"Sunny"
2011-02-09,2,"Rain"
2011-02-10,3,"Rain"
2011-02-11,3,"Sunny"
2011-02-12,6,"Sunny"
2011-02-13,10,"Sunny"
2011-02-14,13,"Sunny"
2011-02-15,11,"Sunny"
2011-02-16,12,"Sunny"
2011-02-17,15,"Foggy"
2011-02-18,16,"Sunny"
2011-02-19,17,"Sunny"
2011-02-20,14,"Sunny"
2011-02-21,17,"Sunny"
2011-02-22,16,"Sunny"
2011-02-23,13,"Sunny"
2011-02-24,16,"Sunny"
2011-02-25,14,"Rain"
2011-02-26,12,"Sunny"
2011-02-27,18,"Sunny"
2011-02-28,19,"Rain"
2011-03-01,13,"Sunny"
2011-03-02,13,"Sunny"
2011-03-03,14,"Sunny"
2011-03-04,10,"Sunny"
2011-03-05,12,"Rain"
2011-03-06,9,"Rain"
2011-03-07,7,"Sunny"
2011-03-08,11,"Rain"
2011-03-09,13,"Rain"
2011-03-10,9,"Rain"
2011-03-11,8,"Sunny"
2011-03-12,13,"Sunny"
2011-03-13,16,"Sunny"
2011-03-14,17,"Sunny"
2011-03-15,12,"Rain"
2011-03-16,10,"Sunny"
2011-03-17,15,"Sunny"
2011-03-18,19,"Sunny"
2011-03-19,21,"Sunny"
2011-03-20,18,"Sunny"
2011-03-21,19,"Sunny"
2011-03-22,21,"Sunny"
2011-03-23,22,"Sunny"
2011-03-24,14,"Rain"
2011-03-25,12,"Sunny"
2011-03-26,14,"Rain"
2011-03-27,12,"Rain"
2011-03-28,8,"Rain"
2011-03-29,9,"Rain"
2011-03-30,13,"Rain"
2011-03-31,10,"Sunny"
2011-04-01,9,"Rain"
2011-04-02,13,"Sunny"
2011-04-03,17,"Sunny"
2011-04-04,21,"Rain"
2011-04-05,12,"Rain"
2011-04-06,13,"Sunny"
2011-04-07,16,"Sunny"
2011-04-08,21,"Sunny"
2011-04-09,25,"Sunny"
2011-04-10,23,"Sunny"
2011-04-11,23,"Rain"
2011-04-12,17,"Rain"
2011-04-13,16,"Sunny"
2011-04-14,18,"Sunny"
2011-04-15,18,"Rain"
2011-04-16,14,"Rain"
2011-04-17,15,"Sunny"
2011-04-18,18,"Sunny"
2011-04-19,22,"Sunny"
2011-04-20,21,"Sunny"
2011-04-21,22,"Rain"
2011-04-22,18,"Rain"
2011-04-23,19,"Foggy"
2011-04-24,22,"Sunny"
2011-04-25,24,"Rain"
2011-04-26,23,"Sunny"
2011-04-27,24,"Rain"
2011-04-28,17,"Rain"
2011-04-29,17,"Sunny"
2011-04-30,19,"Sunny"
2011-05-01,21,"Sunny"
2011-05-02,22,"Sunny"
2011-05-03,19,"Rain"
2011-05-04,13,"Rain"
2011-05-05,13,"Sunny"
2011-05-06,17,"Sunny"
2011-05-07,18,"Sunny"
2011-05-08,21,"Sunny"
2011-05-09,24,"Sunny"
2011-05-10,26,"Sunny"
2011-05-11,26,"Sunny"
2011-05-12,26,"Sunny"
2011-05-13,24,"Sunny"
2011-05-14,21,"Rain"
2011-05-15,16,"Sunny"
2011-05-16,15,"Rain"
2011-05-17,14,"Sunny"
2011-05-18,13,"Sunny"
2011-05-19,18,"Sunny"
2011-05-20,23,"Sunny"
2011-05-21,25,"Sunny"
2011-05-22,27,"Sunny"
2011-05-23,26,"Sunny"
2011-05-24,26,"Sunny"
2011-05-25,26,"Sunny"
2011-05-26,24,"Rain"
2011-05-27,23,"Rain"
2011-05-28,24,"Foggy"
2011-05-29,26,"Sunny"
2011-05-30,27,"Sunny"
2011-05-31,28,"Sunny"
2011-06-01,29,"Sunny"
2011-06-02,29,"Sunny"
2011-06-03,29,"Sunny"
2011-06-04,28,"Sunny"
2011-06-05,28,"Sunny"
2011-06-06,27,"Sunny"
2011-06-07,28,"Sunny"
2011-06-08,28,"Sunny"
2011-06-09,29,"Sunny"
2011-06-10,28,"Sunny"
2011-06-11,27,"Rain"
2011-06-12,27,"Sunny"
2011-06-13,28,"Sunny"
2011-06-14,28,"Sunny"
2011-06-15,27,"Rain"
2011-06-16,26,"Rain"
2011-06-17,26,"Rain"
2011-06-18,26,"Rain"
2011-06-19,27,"Sunny"
2011-06-20,29,"Sunny"
2011-06-21,30,"Sunny"
2011-06-22,27,"Rain"
2011-06-23,25,"Rain"
2011-06-24,27,"Rain"
2011-06-25,26,"Sunny"
2011-06-26,27,"Rain"
2011-06-27,26,"Rain"
2011-06-28,27,"Sunny"
2011-06-29,26,"Sunny"
2011-06-30,28,"Sunny"
2011-07-01,29,"Rain"
2011-07-02,29,"Rain"
2011-07-03,29,"Rain"
2011-07-04,27,"Rain"
2011-07-05,27,"Rain"
2011-07-06,27,"Sunny"
2011-07-07,29,"Sunny"
2011-07-08,29,"Rain"
2011-07-09,28,"Rain"
2011-07-10,28,"Sunny"
2011-07-11,29,"Sunny"
2011-07-12,30,"Rain"
2011-07-13,31,"Rain"
2011-07-14,28,"Rain"
2011-07-15,24,"Rain"
2011-07-16,24,"Rain"
2011-07-17,26,"Rain"
2011-07-18,27,"Sunny"
2011-07-19,29,"Rain"
2011-07-20,28,"Rain"
2011-07-21,28,"Rain"
2011-07-22,29,"Sunny"
2011-07-23,28,"Sunny"
2011-07-24,28,"Sunny"
2011-07-25,28,"Rain"
2011-07-26,29,"Rain"
2011-07-27,29,"Sunny"
2011-07-28,28,"Rain"
2011-07-29,28,"Sunny"
2011-07-30,30,"Rain"
2011-07-31,29,"Sunny"
2011-08-01,29,"Rain"
2011-08-02,30,"Sunny"
2011-08-03,31,"Sunny"
2011-08-04,26,"Rain"
2011-08-05,29,"Sunny"
2011-08-06,29,"Rain"
2011-08-07,29,"Rain"
2011-08-08,29,"Rain"
2011-08-09,28,"Sunny"
2011-08-10,29,"Sunny"
2011-08-11,29,"Sunny"
2011-08-12,29,"Sunny"
2011-08-13,29,"Rain"
2011-08-14,29,"Sunny"
2011-08-15,26,"Sunny"
2011-08-16,26,"Sunny"
2011-08-17,28,"Sunny"
2011-08-18,28,"Sunny"
2011-08-19,29,"Sunny"
2011-08-20,29,"Rain"
2011-08-21,28,"Rain"
2011-08-22,30,"Sunny"
2011-08-23,28,"Sunny"
2011-08-24,27,"Sunny"
2011-08-25,28,"Sunny"
2011-08-26,31,"Sunny"
2011-08-27,29,"Sunny"
2011-08-28,28,"Sunny"
2011-08-29,28,"Sunny"
2011-08-30,27,"Sunny"
2011-08-31,28,"Sunny"
2011-09-01,29,"Sunny"
2011-09-02,29,"Sunny"
2011-09-03,29,"Sunny"
2011-09-04,24,"Rain"
2011-09-05,24,"Rain"
2011-09-06,19,"Rain"
2011-09-07,18,"Sunny"
2011-09-08,19,"Sunny"
2011-09-09,21,"Sunny"
2011-09-10,22,"Sunny"
2011-09-11,23,"Sunny"
2011-09-12,24,"Sunny"
2011-09-13,25,"Sunny"
2011-09-14,26,"Sunny"
2011-09-15,23,"Sunny"
2011-09-16,18,"Sunny"
2011-09-17,20,"Sunny"
2011-09-18,20,"Sunny"
2011-09-19,21,"Sunny"
2011-09-20,23,"Rain"
2011-09-21,26,"Rain"
2011-09-22,24,"Rain"
2011-09-23,23,"Rain"
2011-09-24,22,"Sunny"
2011-09-25,24,"Sunny"
2011-09-26,26,"Rain"
2011-09-27,24,"Sunny"
2011-09-28,22,"Sunny"
2011-09-29,23,"Sunny"
2011-09-30,20,"Sunny"
2011-10-01,14,"Sunny"
2011-10-02,14,"Sunny"
2011-10-03,16,"Sunny"
2011-10-04,18,"Sunny"
